trade_id,timestamp,arbitrage_type,net_profit_per_share,trade_size,total_net_profit,fees_paid,market_a,platform_a,side_a,avg_price_a,market_b,platform_b,side_b,avg_price_b,,,,,,,net_profit_per_share
6,2025-07-06T00:34:17.644461+00:00,same_outcome,0.08,2,0.16,0.04,Houston vs Los Angeles (LAD),Polymarket,BUY,0.27,Houston vs Los Angeles (LAD),Kalshi,SELL,0.37,,,,8687.04,0.091832201,8687.04,0.08
124,2025-07-06T02:03:15.892433+00:00,same_outcome,0.08,5,0.4,0.05,Houston vs Los Angeles (HOU),Kalshi,BUY,0.84,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,8692.04,0.091825394,8692.04,0.08
128,2025-07-06T02:03:17.710009+00:00,same_outcome,0.08,1,0.08,0.01,Houston vs Los Angeles (HOU),Kalshi,BUY,0.84,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,8693.04,0.091824034,8693.04,0.08
48,2025-07-06T01:26:04.906115+00:00,same_outcome,0.0775,409.15,31.71,6.75,Houston vs Los Angeles (LAD),Kalshi,BUY,0.38,Houston vs Los Angeles (LAD),Polymarket,SELL,0.474,,,,9102.19,0.091180254,9102.19,0.0775
61,2025-07-06T01:31:03.086890+00:00,same_outcome,0.0732,31,2.27,0.52,Houston vs Los Angeles (HOU),Kalshi,BUY,0.62,Houston vs Los Angeles (HOU),Polymarket,SELL,0.71,,,,9133.19,0.091119313,9133.19,0.0732
125,2025-07-06T02:03:17.410736+00:00,same_outcome,0.071,100,7.1,0.9,Houston vs Los Angeles (HOU),Kalshi,BUY,0.85,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,9233.19,0.090901411,9233.19,0.071
127,2025-07-06T02:03:17.591375+00:00,same_outcome,0.071,100,7.1,0.9,Houston vs Los Angeles (HOU),Kalshi,BUY,0.85,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,9333.19,0.090688178,9333.19,0.071
142,2025-07-06T02:03:19.490776+00:00,same_outcome,0.071,100,7.1,0.9,Houston vs Los Angeles (HOU),Kalshi,BUY,0.85,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,9433.19,0.090479467,9433.19,0.071
5,2025-07-06T00:34:16.948625+00:00,same_outcome,0.0708,260,18.42,4.18,Houston vs Los Angeles (LAD),Polymarket,BUY,0.27,Houston vs Los Angeles (LAD),Kalshi,SELL,0.3569,,,,9693.19,0.089952843,9693.19,0.0708
116,2025-07-06T02:03:14.349926+00:00,same_outcome,0.07,3,0.21,0.03,Houston vs Los Angeles (LAD),Polymarket,BUY,0.07,Houston vs Los Angeles (LAD),Kalshi,SELL,0.15,,,,9696.19,0.08994667,9696.19,0.07
41,2025-07-06T01:25:37.105632+00:00,same_outcome,0.0699,1713,119.79,29.91,Houston vs Los Angeles (HOU),Kalshi,BUY,0.4759,Houston vs Los Angeles (HOU),Polymarket,SELL,0.5633,,,,11409.19,0.086941317,11409.19,0.0699
143,2025-07-06T02:03:19.550752+00:00,same_outcome,0.068,10,0.68,0.12,Houston vs Los Angeles (LAD),Polymarket,BUY,0.12,Houston vs Los Angeles (LAD),Kalshi,SELL,0.2,,,,11419.19,0.086924729,11419.19,0.068
49,2025-07-06T01:26:04.946836+00:00,same_outcome,0.0671,247.86,16.62,4.09,Houston vs Los Angeles (LAD),Kalshi,BUY,0.38,Houston vs Los Angeles (LAD),Polymarket,SELL,0.4636,,,,11667.05,0.086502586,11667.05,0.0671
50,2025-07-06T01:26:04.984668+00:00,same_outcome,0.0671,247.86,16.62,4.09,Houston vs Los Angeles (HOU),Polymarket,BUY,0.5364,Houston vs Los Angeles (HOU),Kalshi,SELL,0.62,,,,11914.91,0.086098007,11914.91,0.0671
11,2025-07-06T00:38:32.870628+00:00,same_outcome,0.0642,1895.2,121.7,33.05,Detroit vs Cleveland (CLE),Polymarket,BUY,0.3883,Detroit vs Cleveland (CLE),Kalshi,SELL,0.47,,,,13810.11,0.083094921,13810.11,0.0642
13,2025-07-06T00:38:33.070254+00:00,same_outcome,0.0625,8,0.5,0.14,Detroit vs Cleveland (DET),Kalshi,BUY,0.57,Detroit vs Cleveland (DET),Polymarket,SELL,0.65,,,,13818.11,0.083082998,13818.11,0.0625
126,2025-07-06T02:03:17.412104+00:00,same_outcome,0.0615,100,6.15,0.85,Houston vs Los Angeles (HOU),Kalshi,BUY,0.86,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,13918.11,0.082927926,13918.11,0.0615
153,2025-07-06T02:05:54.639720+00:00,same_outcome,0.06,1,0.06,0.02,Texas vs San Diego (TEX),Polymarket,BUY,0.44,Texas vs San Diego (TEX),Kalshi,SELL,0.52,,,,13919.11,0.082926279,13919.11,0.06
91,2025-07-06T01:43:29.730765+00:00,same_outcome,0.0534,1410,75.28,15.19,Houston vs Los Angeles (LAD),Polymarket,BUY,0.1258,Houston vs Los Angeles (LAD),Kalshi,SELL,0.19,,,,15329.11,0.080209484,15329.11,0.0534
90,2025-07-06T01:43:29.670056+00:00,same_outcome,0.0528,1656,87.38,17.85,Houston vs Los Angeles (HOU),Kalshi,BUY,0.81,Houston vs Los Angeles (HOU),Polymarket,SELL,0.8735,,,,16985.11,0.077533793,16985.11,0.0528
141,2025-07-06T02:03:19.473989+00:00,same_outcome,0.052,100,5.2,0.8,Houston vs Los Angeles (HOU),Kalshi,BUY,0.87,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,17085.11,0.077384342,17085.11,0.052
43,2025-07-06T01:25:38.673883+00:00,same_outcome,0.0504,145.05,7.31,2.54,Houston vs Los Angeles (LAD),Polymarket,BUY,0.4121,Houston vs Los Angeles (LAD),Kalshi,SELL,0.48,,,,17230.16,0.077157148,17230.16,0.0504
44,2025-07-06T01:25:38.674437+00:00,same_outcome,0.0504,145.05,7.31,2.54,Houston vs Los Angeles (HOU),Kalshi,BUY,0.52,Houston vs Los Angeles (HOU),Polymarket,SELL,0.5879,,,,17375.21,0.076933746,17375.21,0.0504
45,2025-07-06T01:25:38.777685+00:00,same_outcome,0.0493,95.05,4.68,1.67,Houston vs Los Angeles (HOU),Kalshi,BUY,0.52,Houston vs Los Angeles (HOU),Polymarket,SELL,0.5868,,,,17470.26,0.076783059,17470.26,0.0493
46,2025-07-06T01:25:38.778536+00:00,same_outcome,0.0493,95.05,4.68,1.67,Houston vs Los Angeles (LAD),Polymarket,BUY,0.4132,Houston vs Los Angeles (LAD),Kalshi,SELL,0.48,,,,17565.31,0.076634002,17565.31,0.0493
192,2025-07-06T03:03:07.548923+00:00,same_outcome,0.0492,50,2.46,0.54,Chicago vs Colorado (CWS),Polymarket,BUY,0.75,Chicago vs Colorado (CWS),Kalshi,SELL,0.81,,,,17615.31,0.076556132,17615.31,0.0492
93,2025-07-06T01:43:29.812000+00:00,same_outcome,0.047,1666,78.23,17.95,Houston vs Los Angeles (LAD),Polymarket,BUY,0.1323,Houston vs Los Angeles (LAD),Kalshi,SELL,0.19,,,,19281.31,0.073998603,19281.31,0.047
145,2025-07-06T02:03:19.572254+00:00,same_outcome,0.0432,62,2.68,0.7,Houston vs Los Angeles (LAD),Polymarket,BUY,0.1455,Houston vs Los Angeles (LAD),Kalshi,SELL,0.2,,,,19343.31,0.073899969,19343.31,0.0432
18,2025-07-06T00:38:33.890855+00:00,same_outcome,0.0431,62,2.67,1.05,Detroit vs Cleveland (DET),Kalshi,BUY,0.59,Detroit vs Cleveland (DET),Polymarket,SELL,0.65,,,,19405.31,0.073801449,19405.31,0.0431
19,2025-07-06T00:38:33.950521+00:00,same_outcome,0.043,100,4.3,1.7,Detroit vs Cleveland (DET),Kalshi,BUY,0.59,Detroit vs Cleveland (DET),Polymarket,SELL,0.65,,,,19505.31,0.073643536,19505.31,0.043
119,2025-07-06T02:03:15.732136+00:00,same_outcome,0.0426,100,4.26,0.74,Houston vs Los Angeles (HOU),Kalshi,BUY,0.88,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,19605.31,0.073485194,19605.31,0.0426
120,2025-07-06T02:03:15.732523+00:00,same_outcome,0.0426,100,4.26,0.74,Houston vs Los Angeles (HOU),Kalshi,BUY,0.88,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,19705.31,0.073328458,19705.31,0.0426
139,2025-07-06T02:03:19.471523+00:00,same_outcome,0.0426,100,4.26,0.74,Houston vs Los Angeles (HOU),Kalshi,BUY,0.88,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,19805.31,0.073173306,19805.31,0.0426
140,2025-07-06T02:03:19.472851+00:00,same_outcome,0.0426,100,4.26,0.74,Houston vs Los Angeles (HOU),Kalshi,BUY,0.88,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,19905.31,0.073019712,19905.31,0.0426
92,2025-07-06T01:43:29.791918+00:00,same_outcome,0.0414,1728,71.56,18.46,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8122,Houston vs Los Angeles (HOU),Polymarket,SELL,0.8642,,,,21633.31,0.070494991,21633.31,0.0414
130,2025-07-06T02:03:18.350109+00:00,same_outcome,0.04,2,0.08,0.02,Houston vs Los Angeles (LAD),Polymarket,BUY,0.07,Houston vs Los Angeles (LAD),Kalshi,SELL,0.12,,,,21635.31,0.070492172,21635.31,0.04
189,2025-07-06T02:51:32.355079+00:00,same_outcome,0.04,13,0.52,0.13,Texas vs San Diego (SD),Polymarket,BUY,0.11,Texas vs San Diego (SD),Kalshi,SELL,0.16,,,,21648.31,0.070473861,21648.31,0.04
65,2025-07-06T01:33:14.663271+00:00,same_outcome,0.0379,2005,75.99,24.08,Houston vs Los Angeles (LAD),Polymarket,BUY,0.17,Houston vs Los Angeles (LAD),Kalshi,SELL,0.2199,,,,23653.31,0.067712722,23653.31,0.0379
28,2025-07-06T00:57:59.912204+00:00,same_outcome,0.037,10,0.37,0.13,Detroit vs Cleveland (CLE),Kalshi,BUY,0.23,Detroit vs Cleveland (CLE),Polymarket,SELL,0.28,,,,23663.31,0.067699743,23663.31,0.037
191,2025-07-06T03:03:07.514864+00:00,same_outcome,0.0358,314,11.24,3.56,Chicago vs Colorado (CWS),Polymarket,BUY,0.75,Chicago vs Colorado (CWS),Kalshi,SELL,0.7971,,,,23977.31,0.067281943,23977.31,0.0358
98,2025-07-06T01:44:36.576143+00:00,same_outcome,0.0356,55,1.96,0.66,Houston vs Los Angeles (LAD),Polymarket,BUY,0.17,Houston vs Los Angeles (LAD),Kalshi,SELL,0.2176,,,,24032.31,0.067209519,24032.31,0.0356
37,2025-07-06T01:22:16.798378+00:00,same_outcome,0.035,12,0.42,0.2,Chicago vs Colorado (CWS),Polymarket,BUY,0.32,Chicago vs Colorado (CWS),Kalshi,SELL,0.3717,,,,24044.31,0.067193444,24044.31,0.035
199,2025-07-06T03:08:52.702488+00:00,same_outcome,0.0336,69,2.32,0.44,Chicago vs Colorado (CWS),Polymarket,BUY,0.86,Chicago vs Colorado (CWS),Kalshi,SELL,0.9,,,,24113.31,0.067097383,24113.31,0.0336
9,2025-07-06T00:38:32.831248+00:00,same_outcome,0.0331,100,3.31,1.69,Detroit vs Cleveland (DET),Kalshi,BUY,0.6,Detroit vs Cleveland (DET),Polymarket,SELL,0.65,,,,24213.31,0.066956975,24213.31,0.0331
12,2025-07-06T00:38:33.030260+00:00,same_outcome,0.0331,62,2.05,1.05,Detroit vs Cleveland (DET),Kalshi,BUY,0.6,Detroit vs Cleveland (DET),Polymarket,SELL,0.65,,,,24275.31,0.066870413,24275.31,0.0331
14,2025-07-06T00:38:33.170798+00:00,same_outcome,0.0331,62,2.05,1.05,Detroit vs Cleveland (DET),Kalshi,BUY,0.6,Detroit vs Cleveland (DET),Polymarket,SELL,0.65,,,,24337.31,0.066784291,24337.31,0.0331
15,2025-07-06T00:38:33.632425+00:00,same_outcome,0.0331,62,2.05,1.05,Detroit vs Cleveland (DET),Kalshi,BUY,0.6,Detroit vs Cleveland (DET),Polymarket,SELL,0.65,,,,24399.31,0.066698607,24399.31,0.0331
16,2025-07-06T00:38:33.830321+00:00,same_outcome,0.0331,100,3.31,1.69,Detroit vs Cleveland (DET),Kalshi,BUY,0.6,Detroit vs Cleveland (DET),Polymarket,SELL,0.65,,,,24499.31,0.066561466,24499.31,0.0331
17,2025-07-06T00:38:33.874365+00:00,same_outcome,0.0331,62,2.05,1.05,Detroit vs Cleveland (DET),Kalshi,BUY,0.6,Detroit vs Cleveland (DET),Polymarket,SELL,0.65,,,,24561.31,0.06647691,24561.31,0.0331
114,2025-07-06T02:03:13.609188+00:00,same_outcome,0.0331,299,9.91,2.05,Houston vs Los Angeles (HOU),Kalshi,BUY,0.89,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,24860.31,0.066076006,24860.31,0.0331
121,2025-07-06T02:03:15.733800+00:00,same_outcome,0.0331,100,3.31,0.69,Houston vs Los Angeles (HOU),Kalshi,BUY,0.89,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,24960.31,0.065943893,24960.31,0.0331
129,2025-07-06T02:03:18.210127+00:00,same_outcome,0.0331,250,8.28,1.72,Houston vs Los Angeles (LAD),Polymarket,BUY,0.07,Houston vs Los Angeles (LAD),Kalshi,SELL,0.11,,,,25210.31,0.065618392,25210.31,0.0331
68,2025-07-06T01:33:15.902486+00:00,same_outcome,0.033,10,0.33,0.17,Chicago vs Colorado (COL),Kalshi,BUY,0.37,Chicago vs Colorado (COL),Polymarket,SELL,0.42,,,,25220.31,0.065605458,25220.31,0.033
99,2025-07-06T01:52:09.205035+00:00,same_outcome,0.0329,41,1.35,0.29,Houston vs Los Angeles (LAD),Kalshi,BUY,0.11,Houston vs Los Angeles (LAD),Polymarket,SELL,0.15,,,,25261.31,0.06555242,25261.31,0.0329
70,2025-07-06T01:35:50.649307+00:00,same_outcome,0.0327,1200.02,39.2,7.49,Houston vs Los Angeles (LAD),Polymarket,BUY,0.06,Houston vs Los Angeles (LAD),Kalshi,SELL,0.0989,,,,26461.33,0.064061028,26461.33,0.0327
64,2025-07-06T01:33:14.643801+00:00,same_outcome,0.0326,2299,74.84,27.11,Houston vs Los Angeles (HOU),Kalshi,BUY,0.7857,Houston vs Los Angeles (HOU),Polymarket,SELL,0.83,,,,28760.33,0.061542409,28760.33,0.0326
186,2025-07-06T02:46:05.120886+00:00,same_outcome,0.0306,2147.55,65.69,20.21,San Francisco vs Oakland (ATH),Kalshi,BUY,0.16,San Francisco vs Oakland (ATH),Polymarket,SELL,0.2,,,,30907.88,0.05939165,30907.88,0.0306
187,2025-07-06T02:46:05.219384+00:00,same_outcome,0.0306,2038,62.34,19.18,San Francisco vs Oakland (SF),Polymarket,BUY,0.8,San Francisco vs Oakland (SF),Kalshi,SELL,0.84,,,,32945.88,0.057609935,32945.88,0.0306
104,2025-07-06T02:03:09.452604+00:00,same_outcome,0.0304,995,30.26,9.83,Houston vs Los Angeles (LAD),Polymarket,BUY,0.1297,Houston vs Los Angeles (LAD),Kalshi,SELL,0.17,,,,33940.88,0.056812611,33940.88,0.0304
105,2025-07-06T02:03:09.612210+00:00,same_outcome,0.0301,1124,33.85,11.11,Houston vs Los Angeles (HOU),Kalshi,BUY,0.83,Houston vs Los Angeles (HOU),Polymarket,SELL,0.87,,,,35064.88,0.055956843,35064.88,0.0301
172,2025-07-06T02:19:32.721578+00:00,same_outcome,0.03,10,0.3,0.1,Chicago vs Colorado (CWS),Kalshi,BUY,0.83,Chicago vs Colorado (CWS),Polymarket,SELL,0.87,,,,35074.88,0.055949443,35074.88,0.03
113,2025-07-06T02:03:13.430363+00:00,same_outcome,0.0292,486,14.21,3.23,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8941,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,35560.88,0.055584395,35560.88,0.0292
164,2025-07-06T02:18:00.465236+00:00,same_outcome,0.0288,1197,34.51,13.41,Chicago vs Colorado (COL),Polymarket,BUY,0.1599,Chicago vs Colorado (COL),Kalshi,SELL,0.2,,,,36757.88,0.054713166,36757.88,0.0288
146,2025-07-06T02:03:20.729344+00:00,same_outcome,0.0287,62,1.78,0.7,Houston vs Los Angeles (LAD),Polymarket,BUY,0.16,Houston vs Los Angeles (LAD),Kalshi,SELL,0.2,,,,36819.88,0.05466938,36819.88,0.0287
147,2025-07-06T02:03:20.833113+00:00,same_outcome,0.0287,62,1.78,0.7,Houston vs Los Angeles (LAD),Polymarket,BUY,0.16,Houston vs Los Angeles (LAD),Kalshi,SELL,0.2,,,,36881.88,0.05462574,36881.88,0.0287
167,2025-07-06T02:18:04.264027+00:00,same_outcome,0.0275,16,0.44,0.2,Chicago vs Colorado (CWS),Kalshi,BUY,0.78,Chicago vs Colorado (CWS),Polymarket,SELL,0.82,,,,36897.88,0.054613978,36897.88,0.0275
47,2025-07-06T01:25:43.186326+00:00,same_outcome,0.027,10,0.27,0.18,Houston vs Los Angeles (LAD),Polymarket,BUY,0.515,Houston vs Los Angeles (LAD),Kalshi,SELL,0.56,,,,36907.88,0.054606496,36907.88,0.027
162,2025-07-06T02:09:57.498768+00:00,same_outcome,0.0269,49.43,1.33,0.65,Chicago vs Colorado (CWS),Polymarket,BUY,0.71,Chicago vs Colorado (CWS),Kalshi,SELL,0.75,,,,36957.31,0.054569448,36957.31,0.0269
54,2025-07-06T01:31:01.703909+00:00,same_outcome,0.0262,8,0.21,0.11,Houston vs Los Angeles (LAD),Polymarket,BUY,0.2,Houston vs Los Angeles (LAD),Kalshi,SELL,0.24,,,,36965.31,0.054563319,36965.31,0.0262
23,2025-07-06T00:43:00.221348+00:00,same_outcome,0.0256,279,7.13,4.03,Detroit vs Cleveland (CLE),Kalshi,BUY,0.29,Detroit vs Cleveland (CLE),Polymarket,SELL,0.33,,,,37244.31,0.05434602,37244.31,0.0256
24,2025-07-06T00:43:00.221903+00:00,same_outcome,0.0256,279,7.13,4.03,Detroit vs Cleveland (DET),Polymarket,BUY,0.67,Detroit vs Cleveland (DET),Kalshi,SELL,0.71,,,,37523.31,0.054131952,37523.31,0.0256
181,2025-07-06T02:43:39.628765+00:00,same_outcome,0.0243,7,0.17,0.11,Pittsburgh vs Seattle (PIT),Kalshi,BUY,0.34,Pittsburgh vs Seattle (PIT),Polymarket,SELL,0.38,,,,37530.31,0.054126385,37530.31,0.0243
182,2025-07-06T02:43:39.692104+00:00,same_outcome,0.0243,7,0.17,0.11,Pittsburgh vs Seattle (SEA),Polymarket,BUY,0.62,Pittsburgh vs Seattle (SEA),Kalshi,SELL,0.66,,,,37537.31,0.05412082,37537.31,0.0243
25,2025-07-06T00:43:00.834952+00:00,same_outcome,0.024,5,0.12,0.08,Detroit vs Cleveland (DET),Polymarket,BUY,0.67,Detroit vs Cleveland (DET),Kalshi,SELL,0.71,,,,37542.31,0.054116808,37542.31,0.024
26,2025-07-06T00:43:00.836103+00:00,same_outcome,0.024,5,0.12,0.08,Detroit vs Cleveland (CLE),Kalshi,BUY,0.29,Detroit vs Cleveland (CLE),Polymarket,SELL,0.33,,,,37547.31,0.054112798,37547.31,0.024
53,2025-07-06T01:31:01.702726+00:00,same_outcome,0.0237,8,0.19,0.11,Houston vs Los Angeles (HOU),Kalshi,BUY,0.7625,Houston vs Los Angeles (HOU),Polymarket,SELL,0.8,,,,37555.31,0.05410633,37555.31,0.0237
108,2025-07-06T02:03:11.450234+00:00,same_outcome,0.0237,386,9.14,2.44,Houston vs Los Angeles (HOU),Kalshi,BUY,0.9,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,37941.31,0.053796772,37941.31,0.0237
109,2025-07-06T02:03:11.611079+00:00,same_outcome,0.0237,300,7.1,1.89,Houston vs Los Angeles (HOU),Kalshi,BUY,0.9,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,38241.31,0.053560404,38241.31,0.0237
117,2025-07-06T02:03:14.392152+00:00,same_outcome,0.0237,100,2.37,0.63,Houston vs Los Angeles (HOU),Kalshi,BUY,0.9,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,38341.31,0.053482523,38341.31,0.0237
118,2025-07-06T02:03:14.570967+00:00,same_outcome,0.0237,100,2.37,0.63,Houston vs Los Angeles (HOU),Kalshi,BUY,0.9,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,38441.31,0.053405048,38441.31,0.0237
107,2025-07-06T02:03:11.314280+00:00,same_outcome,0.0235,62,1.46,0.4,Houston vs Los Angeles (LAD),Polymarket,BUY,0.07,Houston vs Los Angeles (LAD),Kalshi,SELL,0.1,,,,38503.31,0.053356971,38503.31,0.0235
111,2025-07-06T02:03:12.550709+00:00,same_outcome,0.0235,62,1.46,0.4,Houston vs Los Angeles (LAD),Polymarket,BUY,0.07,Houston vs Los Angeles (LAD),Kalshi,SELL,0.1,,,,38565.31,0.053309049,38565.31,0.0235
