trade_id,timestamp,arbitrage_type,net_profit_per_share,trade_size,total_net_profit,fees_paid,market_a,platform_a,side_a,avg_price_a,market_b,platform_b,side_b,avg_price_b
90,2025-07-06T01:35:55.054000+00:00,same_outcome,0.0811,1130.02,91.61,10.09,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8500,Houston vs Los Angeles (HOU),Polymarket,SELL,0.9400
91,2025-07-06T01:36:36.556222+00:00,same_outcome,-0.0160,3991.00,-63.71,42.65,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8120,Houston vs Los Angeles (HOU),Polymarket,SELL,0.8067
92,2025-07-06T01:37:00.987874+00:00,same_outcome,0.0047,37.51,0.18,0.40,Houston vs Los Angeles (LAD),Polymarket,BUY,0.1673,Houston vs Los Angeles (LAD),Kalshi,SELL,0.1827
93,2025-07-06T01:41:12.518826+00:00,same_outcome,-0.0089,1921.91,-17.05,22.33,Houston vs Los Angeles (LAD),Polymarket,BUY,0.2073,Houston vs Los Angeles (LAD),Kalshi,SELL,0.2101
94,2025-07-06T01:41:17.431510+00:00,same_outcome,-0.0005,4089.09,-2.03,45.84,Houston vs Los Angeles (LAD),Polymarket,BUY,0.1895,Houston vs Los Angeles (LAD),Kalshi,SELL,0.2002
95,2025-07-06T01:41:17.432235+00:00,same_outcome,0.0039,4798.00,18.60,54.71,Houston vs Los Angeles (HOU),Kalshi,BUY,0.7952,Houston vs Los Angeles (HOU),Polymarket,SELL,0.8104
96,2025-07-06T01:41:17.477293+00:00,same_outcome,0.0175,4.00,0.07,0.05,Houston vs Los Angeles (HOU),Kalshi,BUY,0.7800,Houston vs Los Angeles (HOU),Polymarket,SELL,0.8100
97,2025-07-06T01:41:18.582259+00:00,same_outcome,-0.0000,520.00,-0.02,4.62,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8512,Houston vs Los Angeles (HOU),Polymarket,SELL,0.8600
98,2025-07-06T01:41:18.677823+00:00,same_outcome,0.0222,256.00,5.68,2.56,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8278,Houston vs Los Angeles (HOU),Polymarket,SELL,0.8600
99,2025-07-06T01:41:19.156603+00:00,same_outcome,0.0201,100.00,2.01,0.99,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8300,Houston vs Los Angeles (HOU),Polymarket,SELL,0.8600
100,2025-07-06T01:41:19.295845+00:00,same_outcome,0.0106,200.00,2.11,1.89,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8400,Houston vs Los Angeles (HOU),Polymarket,SELL,0.8600
101,2025-07-06T01:41:19.657950+00:00,same_outcome,0.0200,9.00,0.18,0.09,Houston vs Los Angeles (HOU),Kalshi,BUY,0.8300,Houston vs Los Angeles (HOU),Polymarket,SELL,0.8600
