trade_id,timestamp,arbitrage_type,net_profit_per_share,trade_size,total_net_profit,fees_paid,market_a,platform_a,side_a,avg_price_a,market_b,platform_b,side_b,avg_price_b,,,,volume,net_profit_per_share,
24,2025-07-06T00:34:14.848979+00:00,same_outcome,0.0778,0.45,0.03,0.01,Houston vs Los Angeles (HOU),Kalshi,BUY,0.64,Houston vs Los Angeles (HOU),Polymarket,SELL,0.74,,,,10573.34,0.0778,0.1057334
17,2025-07-06T00:34:08.766304+00:00,same_outcome,0.074,110,8.14,1.76,Houston vs Los Angeles (LAD),Polymarket,BUY,0.26,Houston vs Los Angeles (LAD),Kalshi,SELL,0.35,,,,10683.34,0.074,0.1068334
130,2025-07-06T01:25:37.105632+00:00,same_outcome,0.074,1390,102.85,24.23,Houston vs Los Angeles (HOU),Kalshi,BUY,0.4686,Houston vs Los Angeles (HOU),Polymarket,SELL,0.56,,,,12073.34,0.074,0.1207334
425,2025-07-06T02:25:21.643346+00:00,same_outcome,0.074,5,0.37,0.08,Chicago vs Colorado (COL),Polymarket,BUY,0.21,Chicago vs Colorado (COL),Kalshi,SELL,0.3,,,,12078.34,0.074,0.1207834
20,2025-07-06T00:34:10.045089+00:00,same_outcome,0.0739,999,73.79,16.12,Houston vs Los Angeles (LAD),Polymarket,BUY,0.27,Houston vs Los Angeles (LAD),Kalshi,SELL,0.36,,,,13077.34,0.0739,0.1307734
22,2025-07-06T00:34:10.184396+00:00,same_outcome,0.0739,999,73.79,16.12,Houston vs Los Angeles (HOU),Kalshi,BUY,0.64,Houston vs Los Angeles (HOU),Polymarket,SELL,0.73,,,,14076.34,0.0739,0.1407634
29,2025-07-06T00:34:16.948625+00:00,same_outcome,0.0738,250,18.46,4.04,Houston vs Los Angeles (LAD),Polymarket,BUY,0.27,Houston vs Los Angeles (LAD),Kalshi,SELL,0.36,,,,14326.34,0.0738,0.1432634
31,2025-07-06T00:34:17.782176+00:00,same_outcome,0.0733,12,0.88,0.2,Houston vs Los Angeles (LAD),Polymarket,BUY,0.29,Houston vs Los Angeles (LAD),Kalshi,SELL,0.38,,,,14338.34,0.0733,0.1433834
160,2025-07-06T01:31:03.086890+00:00,same_outcome,0.0732,31,2.27,0.52,Houston vs Los Angeles (HOU),Kalshi,BUY,0.62,Houston vs Los Angeles (HOU),Polymarket,SELL,0.71,,,,14369.34,0.0732,0.1436934
37,2025-07-06T00:38:32.870628+00:00,same_outcome,0.0724,50,3.62,0.88,Detroit vs Cleveland (CLE),Polymarket,BUY,0.38,Detroit vs Cleveland (CLE),Kalshi,SELL,0.47,,,,14419.34,0.0724,0.1441934
198,2025-07-06T01:35:50.649307+00:00,same_outcome,0.0715,100,7.15,0.85,Houston vs Los Angeles (LAD),Polymarket,BUY,0.06,Houston vs Los Angeles (LAD),Kalshi,SELL,0.14,,,,14519.34,0.0715,0.1451934
331,2025-07-06T02:03:17.410736+00:00,same_outcome,0.071,100,7.1,0.9,Houston vs Los Angeles (HOU),Kalshi,BUY,0.85,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,14619.34,0.071,0.1461934
333,2025-07-06T02:03:17.591375+00:00,same_outcome,0.071,100,7.1,0.9,Houston vs Los Angeles (HOU),Kalshi,BUY,0.85,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,14719.34,0.071,0.1471934
348,2025-07-06T02:03:19.490776+00:00,same_outcome,0.071,100,7.1,0.9,Houston vs Los Angeles (HOU),Kalshi,BUY,0.85,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,14819.34,0.071,0.1481934
152,2025-07-06T01:31:01.702726+00:00,same_outcome,0.07,1,0.07,0.02,Houston vs Los Angeles (HOU),Kalshi,BUY,0.71,Houston vs Los Angeles (HOU),Polymarket,SELL,0.8,,,,14820.34,0.07,0.1482034
25,2025-07-06T00:34:14.848979+00:00,same_outcome,0.0689,10,0.69,0.17,Houston vs Los Angeles (HOU),Kalshi,BUY,0.6441,Houston vs Los Angeles (HOU),Polymarket,SELL,0.73,,,,14830.34,0.0689,0.1483034
349,2025-07-06T02:03:19.550752+00:00,same_outcome,0.068,10,0.68,0.12,Houston vs Los Angeles (LAD),Polymarket,BUY,0.12,Houston vs Los Angeles (LAD),Kalshi,SELL,0.2,,,,14840.34,0.068,0.1484034
127,2025-07-06T01:25:36.967636+00:00,same_outcome,0.064,1213,77.66,21.19,Houston vs Los Angeles (LAD),Polymarket,BUY,0.44,Houston vs Los Angeles (LAD),Kalshi,SELL,0.5215,,,,16053.34,0.064,0.1605334
38,2025-07-06T00:38:32.870628+00:00,same_outcome,0.0625,170,10.63,2.97,Detroit vs Cleveland (CLE),Polymarket,BUY,0.39,Detroit vs Cleveland (CLE),Kalshi,SELL,0.47,,,,16223.34,0.0625,0.1622334
42,2025-07-06T00:38:33.070254+00:00,same_outcome,0.0625,8,0.5,0.14,Detroit vs Cleveland (DET),Kalshi,BUY,0.57,Detroit vs Cleveland (DET),Polymarket,SELL,0.65,,,,16231.34,0.0625,0.1623134
199,2025-07-06T01:35:50.649307+00:00,same_outcome,0.062,10,0.62,0.08,Houston vs Los Angeles (LAD),Polymarket,BUY,0.06,Houston vs Los Angeles (LAD),Kalshi,SELL,0.13,,,,16241.34,0.062,0.1624134
203,2025-07-06T01:35:50.649943+00:00,same_outcome,0.062,15,0.93,0.12,Houston vs Los Angeles (HOU),Kalshi,BUY,0.87,Houston vs Los Angeles (HOU),Polymarket,SELL,0.94,,,,16256.34,0.062,0.1625634
332,2025-07-06T02:03:17.412104+00:00,same_outcome,0.0615,100,6.15,0.85,Houston vs Los Angeles (HOU),Kalshi,BUY,0.86,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,16356.34,0.0615,0.1635634
30,2025-07-06T00:34:17.644461+00:00,same_outcome,0.06,2,0.12,0.04,Houston vs Los Angeles (LAD),Polymarket,BUY,0.29,Houston vs Los Angeles (LAD),Kalshi,SELL,0.37,,,,16358.34,0.06,0.1635834
366,2025-07-06T02:05:54.639720+00:00,same_outcome,0.06,1,0.06,0.02,Texas vs San Diego (TEX),Polymarket,BUY,0.44,Texas vs San Diego (TEX),Kalshi,SELL,0.52,,,,16359.34,0.06,0.1635934
256,2025-07-06T01:43:29.670056+00:00,same_outcome,0.0592,586.92,34.75,6.33,Houston vs Los Angeles (HOU),Kalshi,BUY,0.81,Houston vs Los Angeles (HOU),Polymarket,SELL,0.88,,,,16946.26,0.0592,0.1694626
258,2025-07-06T01:43:29.730765+00:00,same_outcome,0.0592,586.92,34.75,6.33,Houston vs Los Angeles (LAD),Polymarket,BUY,0.12,Houston vs Los Angeles (LAD),Kalshi,SELL,0.19,,,,17533.18,0.0592,0.1753318
472,2025-07-06T03:03:05.149500+00:00,same_outcome,0.0568,74,4.2,0.98,Chicago vs Colorado (COL),Polymarket,BUY,0.18,Chicago vs Colorado (COL),Kalshi,SELL,0.25,,,,17607.18,0.0568,0.1760718
39,2025-07-06T00:38:32.870628+00:00,same_outcome,0.0525,87.51,4.6,1.53,Detroit vs Cleveland (CLE),Polymarket,BUY,0.4,Detroit vs Cleveland (CLE),Kalshi,SELL,0.47,,,,17694.69,0.0525,0.1769469
132,2025-07-06T01:25:38.673883+00:00,same_outcome,0.0525,140.05,7.35,2.45,Houston vs Los Angeles (LAD),Polymarket,BUY,0.41,Houston vs Los Angeles (LAD),Kalshi,SELL,0.48,,,,17834.74,0.0525,0.1783474
133,2025-07-06T01:25:38.674437+00:00,same_outcome,0.0525,140.05,7.35,2.45,Houston vs Los Angeles (HOU),Kalshi,BUY,0.52,Houston vs Los Angeles (HOU),Polymarket,SELL,0.59,,,,17974.79,0.0525,0.1797479
134,2025-07-06T01:25:38.777685+00:00,same_outcome,0.0525,90.05,4.72,1.58,Houston vs Los Angeles (HOU),Kalshi,BUY,0.52,Houston vs Los Angeles (HOU),Polymarket,SELL,0.59,,,,18064.84,0.0525,0.1806484
135,2025-07-06T01:25:38.778536+00:00,same_outcome,0.0525,90.05,4.72,1.58,Houston vs Los Angeles (LAD),Polymarket,BUY,0.41,Houston vs Los Angeles (LAD),Kalshi,SELL,0.48,,,,18154.89,0.0525,0.1815489
347,2025-07-06T02:03:19.473989+00:00,same_outcome,0.052,100,5.2,0.8,Houston vs Los Angeles (HOU),Kalshi,BUY,0.87,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,18254.89,0.052,0.1825489
260,2025-07-06T01:43:29.791918+00:00,same_outcome,0.0492,124,6.1,1.34,Houston vs Los Angeles (HOU),Kalshi,BUY,0.81,Houston vs Los Angeles (HOU),Polymarket,SELL,0.87,,,,18378.89,0.0492,0.1837889
262,2025-07-06T01:43:29.812000+00:00,same_outcome,0.0492,370,18.21,3.99,Houston vs Los Angeles (LAD),Polymarket,BUY,0.13,Houston vs Los Angeles (LAD),Kalshi,SELL,0.19,,,,18748.89,0.0492,0.1874889
264,2025-07-06T01:43:30.052262+00:00,same_outcome,0.0492,490,24.12,5.28,Houston vs Los Angeles (LAD),Polymarket,BUY,0.13,Houston vs Los Angeles (LAD),Kalshi,SELL,0.19,,,,19238.89,0.0492,0.1923889
265,2025-07-06T01:43:30.052798+00:00,same_outcome,0.0492,490,24.12,5.28,Houston vs Los Angeles (HOU),Kalshi,BUY,0.81,Houston vs Los Angeles (HOU),Polymarket,SELL,0.87,,,,19728.89,0.0492,0.1972889
478,2025-07-06T03:03:07.514864+00:00,same_outcome,0.0492,100,4.92,1.08,Chicago vs Colorado (CWS),Polymarket,BUY,0.75,Chicago vs Colorado (CWS),Kalshi,SELL,0.81,,,,19828.89,0.0492,0.1982889
482,2025-07-06T03:03:07.548923+00:00,same_outcome,0.0492,50,2.46,0.54,Chicago vs Colorado (CWS),Polymarket,BUY,0.75,Chicago vs Colorado (CWS),Kalshi,SELL,0.81,,,,19878.89,0.0492,0.1987889
227,2025-07-06T01:41:17.431510+00:00,same_outcome,0.0482,51.76,2.5,0.61,Houston vs Los Angeles (LAD),Polymarket,BUY,0.15,Houston vs Los Angeles (LAD),Kalshi,SELL,0.21,,,,19930.65,0.0482,0.1993065
230,2025-07-06T01:41:17.432235+00:00,same_outcome,0.0482,51.76,2.5,0.61,Houston vs Los Angeles (HOU),Kalshi,BUY,0.79,Houston vs Los Angeles (HOU),Polymarket,SELL,0.85,,,,19982.41,0.0482,0.1998241
277,2025-07-06T01:44:36.575693+00:00,same_outcome,0.0475,55,2.61,0.69,Houston vs Los Angeles (HOU),Kalshi,BUY,0.77,Houston vs Los Angeles (HOU),Polymarket,SELL,0.83,,,,20037.41,0.0475,0.2003741
473,2025-07-06T03:03:05.149500+00:00,same_outcome,0.0468,72.14,3.38,0.95,Chicago vs Colorado (COL),Polymarket,BUY,0.19,Chicago vs Colorado (COL),Kalshi,SELL,0.25,,,,20109.55,0.0468,0.2010955
423,2025-07-06T02:25:19.784347+00:00,same_outcome,0.046,5,0.23,0.07,Chicago vs Colorado (CWS),Kalshi,BUY,0.73,Chicago vs Colorado (CWS),Polymarket,SELL,0.79,,,,20114.55,0.046,0.2011455
449,2025-07-06T02:38:04.643292+00:00,same_outcome,0.0437,408.47,17.84,2.58,Chicago vs Colorado (COL),Kalshi,BUY,0.1,Chicago vs Colorado (COL),Polymarket,SELL,0.15,,,,20523.02,0.0437,0.2052302
450,2025-07-06T02:38:04.663955+00:00,same_outcome,0.0437,408.47,17.84,2.58,Chicago vs Colorado (CWS),Polymarket,BUY,0.85,Chicago vs Colorado (CWS),Kalshi,SELL,0.9,,,,20931.49,0.0437,0.2093149
325,2025-07-06T02:03:15.732136+00:00,same_outcome,0.0426,100,4.26,0.74,Houston vs Los Angeles (HOU),Kalshi,BUY,0.88,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,21031.49,0.0426,0.2103149
326,2025-07-06T02:03:15.732523+00:00,same_outcome,0.0426,100,4.26,0.74,Houston vs Los Angeles (HOU),Kalshi,BUY,0.88,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,21131.49,0.0426,0.2113149
345,2025-07-06T02:03:19.471523+00:00,same_outcome,0.0426,100,4.26,0.74,Houston vs Los Angeles (HOU),Kalshi,BUY,0.88,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,21231.49,0.0426,0.2123149
346,2025-07-06T02:03:19.472851+00:00,same_outcome,0.0426,100,4.26,0.74,Houston vs Los Angeles (HOU),Kalshi,BUY,0.88,Houston vs Los Angeles (HOU),Polymarket,SELL,0.93,,,,21331.49,0.0426,0.2133149
186,2025-07-06T01:33:15.902486+00:00,same_outcome,0.042,5,0.21,0.09,Chicago vs Colorado (COL),Kalshi,BUY,0.37,Chicago vs Colorado (COL),Polymarket,SELL,0.43,,,,21336.49,0.042,0.2133649
112,2025-07-06T01:22:16.798378+00:00,same_outcome,0.04,2,0.08,0.04,Chicago vs Colorado (CWS),Polymarket,BUY,0.32,Chicago vs Colorado (CWS),Kalshi,SELL,0.38,,,,21338.49,0.04,0.2133849
114,2025-07-06T01:22:16.798850+00:00,same_outcome,0.04,1,0.04,0.02,Chicago vs Colorado (COL),Kalshi,BUY,0.62,Chicago vs Colorado (COL),Polymarket,SELL,0.68,,,,21339.49,0.04,0.2133949
336,2025-07-06T02:03:18.350109+00:00,same_outcome,0.04,2,0.08,0.02,Houston vs Los Angeles (LAD),Polymarket,BUY,0.07,Houston vs Los Angeles (LAD),Kalshi,SELL,0.12,,,,21341.49,0.04,0.2134149
350,2025-07-06T02:03:19.551168+00:00,same_outcome,0.04,20,0.8,0.2,Houston vs Los Angeles (HOU),Kalshi,BUY,0.83,Houston vs Los Angeles (HOU),Polymarket,SELL,0.88,,,,21361.49,0.04,0.2136149
471,2025-07-06T02:51:32.355079+00:00,same_outcome,0.04,13,0.52,0.13,Texas vs San Diego (SD),Polymarket,BUY,0.11,Texas vs San Diego (SD),Kalshi,SELL,0.16,,,,21374.49,0.04,0.2137449
417,2025-07-06T02:19:30.498802+00:00,same_outcome,0.039,10,0.39,0.11,Chicago vs Colorado (CWS),Kalshi,BUY,0.82,Chicago vs Colorado (CWS),Polymarket,SELL,0.87,,,,21384.49,0.039,0.2138449
479,2025-07-06T03:03:07.514864+00:00,same_outcome,0.0388,104,4.03,1.17,Chicago vs Colorado (CWS),Polymarket,BUY,0.75,Chicago vs Colorado (CWS),Kalshi,SELL,0.8,,,,21488.49,0.0388,0.2148849
351,2025-07-06T02:03:19.572254+00:00,same_outcome,0.0387,30,1.16,0.34,Houston vs Los Angeles (LAD),Polymarket,BUY,0.15,Houston vs Los Angeles (LAD),Kalshi,SELL,0.2,,,,21518.49,0.0387,0.2151849
403,2025-07-06T02:18:00.465236+00:00,same_outcome,0.0382,8.51,0.33,0.1,Chicago vs Colorado (COL),Polymarket,BUY,0.15,Chicago vs Colorado (COL),Kalshi,SELL,0.2,,,,21527,0.0382,0.21527
179,2025-07-06T01:33:14.643801+00:00,same_outcome,0.038,1999,75.93,24.02,Houston vs Los Angeles (HOU),Kalshi,BUY,0.78,Houston vs Los Angeles (HOU),Polymarket,SELL,0.83,,,,23526,0.038,0.23526
180,2025-07-06T01:33:14.663271+00:00,same_outcome,0.038,1999,75.93,24.02,Houston vs Los Angeles (LAD),Polymarket,BUY,0.17,Houston vs Los Angeles (LAD),Kalshi,SELL,0.22,,,,25525,0.038,0.25525
270,2025-07-06T01:44:33.510401+00:00,same_outcome,0.0379,95,3.6,1.15,Houston vs Los Angeles (HOU),Kalshi,BUY,0.78,Houston vs Los Angeles (HOU),Polymarket,SELL,0.83,,,,25620,0.0379,0.2562
76,2025-07-06T00:57:59.912204+00:00,same_outcome,0.037,10,0.37,0.13,Detroit vs Cleveland (CLE),Kalshi,BUY,0.23,Detroit vs Cleveland (CLE),Polymarket,SELL,0.28,,,,25630,0.037,0.2563
474,2025-07-06T03:03:05.149500+00:00,same_outcome,0.0366,29,1.06,0.39,Chicago vs Colorado (COL),Polymarket,BUY,0.2,Chicago vs Colorado (COL),Kalshi,SELL,0.25,,,,25659,0.0366,0.25659
386,2025-07-06T02:09:54.968712+00:00,same_outcome,0.0352,2.7,0.09,0.04,Chicago vs Colorado (COL),Kalshi,BUY,0.27,Chicago vs Colorado (COL),Polymarket,SELL,0.32,,,,25661.7,0.0352,0.256617
426,2025-07-06T02:25:21.643346+00:00,same_outcome,0.0352,50,1.76,0.74,Chicago vs Colorado (COL),Polymarket,BUY,0.25,Chicago vs Colorado (COL),Kalshi,SELL,0.3,,,,25711.7,0.0352,0.257117
498,2025-07-06T03:08:52.702488+00:00,same_outcome,0.0336,69,2.32,0.44,Chicago vs Colorado (CWS),Polymarket,BUY,0.86,Chicago vs Colorado (CWS),Kalshi,SELL,0.9,,,,25780.7,0.0336,0.257807
141,2025-07-06T01:26:04.906115+00:00,same_outcome,0.0335,100,3.35,1.65,Houston vs Los Angeles (LAD),Kalshi,BUY,0.38,Houston vs Los Angeles (LAD),Polymarket,SELL,0.43,,,,25880.7,0.0335,0.258807
