delay_ms,total_trades,total_net_profit,total_volume_traded,total_fees_paid
0,0,0.00,0.00,0.00
100,0,0.00,0.00,0.00
200,0,0.00,0.00,0.00
300,0,0.00,0.00,0.00
400,0,0.00,0.00,0.00
500,0,0.00,0.00,0.00
600,0,0.00,0.00,0.00
700,0,0.00,0.00,0.00
800,0,0.00,0.00,0.00
900,0,0.00,0.00,0.00
1000,0,0.00,0.00,0.00
