trade_id,timestamp,arbitrage_type,net_profit_per_share,trade_size,total_net_profit,fees_paid,market_a,platform_a,side_a,avg_price_a,market_b,platform_b,side_b,avg_price_b,,,volume,net_profit_per_share,total net,avg_profit per share
103,2025-07-06T01:22:16.798850+00:00,same_outcome,0.04,1,0.04,0.02,Chicago vs Colorado (COL),Kalshi,BUY,0.62,Chicago vs Colorado (COL),Polymarket,SELL,0.68,,,23354.06,0.04,1694.98,0.07257753
370,2025-07-06T02:03:18.350109+00:00,same_outcome,0.04,2,0.08,0.02,Houston vs Los Angeles (LAD),Polymarket,BUY,0.07,Houston vs Los Angeles (LAD),Kalshi,SELL,0.12,,,23356.06,0.04,1695.06,0.072574741
384,2025-07-06T02:03:19.551168+00:00,same_outcome,0.04,20,0.8,0.2,Houston vs Los Angeles (HOU),Kalshi,BUY,0.83,Houston vs Los Angeles (HOU),Polymarket,SELL,0.88,,,23376.06,0.04,1695.86,0.072546871
553,2025-07-06T02:51:32.355079+00:00,same_outcome,0.04,13,0.52,0.13,Texas vs San Diego (SD),Polymarket,BUY,0.11,Texas vs San Diego (SD),Kalshi,SELL,0.16,,,23389.06,0.04,1696.38,0.072528781
337,2025-07-06T02:03:09.452604+00:00,same_outcome,0.0399,28.84,1.15,0.29,Houston vs Los Angeles (LAD),Polymarket,BUY,0.12,Houston vs Los Angeles (LAD),Kalshi,SELL,0.17,,,23417.9,0.0399,1697.53,0.072488566
465,2025-07-06T02:19:30.498802+00:00,same_outcome,0.039,10,0.39,0.11,Chicago vs Colorado (CWS),Kalshi,BUY,0.82,Chicago vs Colorado (CWS),Polymarket,SELL,0.87,,,23427.9,0.039,1697.92,0.072474272
567,2025-07-06T03:03:07.515215+00:00,same_outcome,0.0388,104,4.03,1.17,Chicago vs Colorado (CWS),Polymarket,BUY,0.75,Chicago vs Colorado (CWS),Kalshi,SELL,0.8,,,23531.9,0.0388,1701.95,0.072325227
387,2025-07-06T02:03:19.572669+00:00,same_outcome,0.0386,50,1.93,0.57,Houston vs Los Angeles (LAD),Polymarket,BUY,0.15,Houston vs Los Angeles (LAD),Kalshi,SELL,0.2,,,23581.9,0.0386,1703.88,0.07225372
451,2025-07-06T02:18:00.465236+00:00,same_outcome,0.0382,8.51,0.33,0.1,Chicago vs Colorado (COL),Polymarket,BUY,0.15,Chicago vs Colorado (COL),Kalshi,SELL,0.2,,,23590.41,0.0382,1704.21,0.072241644
183,2025-07-06T01:33:14.643801+00:00,same_outcome,0.038,1999,75.93,24.02,Houston vs Los Angeles (HOU),Kalshi,BUY,0.78,Houston vs Los Angeles (HOU),Polymarket,SELL,0.83,,,25589.41,0.038,1780.14,0.069565496
184,2025-07-06T01:33:14.663271+00:00,same_outcome,0.038,1999,75.93,24.02,Houston vs Los Angeles (LAD),Polymarket,BUY,0.17,Houston vs Los Angeles (LAD),Kalshi,SELL,0.22,,,27588.41,0.038,1856.07,0.067277165
63,2025-07-06T00:57:59.912204+00:00,same_outcome,0.037,10,0.37,0.13,Detroit vs Cleveland (CLE),Kalshi,BUY,0.23,Detroit vs Cleveland (CLE),Polymarket,SELL,0.28,,,27598.41,0.037,1856.44,0.067266194
562,2025-07-06T03:03:05.196641+00:00,same_outcome,0.0366,29,1.06,0.39,Chicago vs Colorado (COL),Polymarket,BUY,0.2,Chicago vs Colorado (COL),Kalshi,SELL,0.25,,,27627.41,0.0366,1857.5,0.067233954
435,2025-07-06T02:09:54.968712+00:00,same_outcome,0.0352,2.7,0.09,0.04,Chicago vs Colorado (COL),Kalshi,BUY,0.27,Chicago vs Colorado (COL),Polymarket,SELL,0.32,,,27630.11,0.0352,1857.59,0.067230641
481,2025-07-06T02:25:21.648966+00:00,same_outcome,0.0352,50,1.76,0.74,Chicago vs Colorado (COL),Polymarket,BUY,0.25,Chicago vs Colorado (COL),Kalshi,SELL,0.3,,,27680.11,0.0352,1859.35,0.067172782
582,2025-07-06T03:08:52.702488+00:00,same_outcome,0.0336,69,2.32,0.44,Chicago vs Colorado (CWS),Polymarket,BUY,0.86,Chicago vs Colorado (CWS),Kalshi,SELL,0.9,,,27749.11,0.0336,1861.67,0.067089359
136,2025-07-06T01:26:04.906437+00:00,same_outcome,0.0335,100,3.35,1.65,Houston vs Los Angeles (LAD),Kalshi,BUY,0.38,Houston vs Los Angeles (LAD),Polymarket,SELL,0.43,,,27849.11,0.0335,1865.02,0.066968747
